Month,Day,Time,CloudAmount,NightLength
4,12,11:00,1,34888
4,12,12:00,0,34888
4,12,13:00,1,34888
4,12,14:00,1,34888
4,12,15:00,1,34888
4,12,16:00,3,34888
4,12,17:00,0,34888
4,12,18:00,0,34888
4,12,19:00,1,34888
4,12,20:00,1,34888
4,12,21:00,0,34888
4,12,22:00,0,34888
4,12,23:00,0,34888
4,13,0:00,0,34560
4,13,1:00,0,34560
4,13,2:00,0,34560
4,13,3:00,0,34560
4,13,4:00,0,34560
4,13,5:00,0,34560
4,13,6:00,0,34560
4,13,7:00,0,34560
4,13,8:00,1,34560
4,13,9:00,1,34560
4,13,10:00,5,34560
4,13,11:00,0,34560
4,13,12:00,0,34560
4,13,13:00,0,34560
4,13,14:00,0,34560
4,13,15:00,0,34560
4,13,16:00,0,34560
4,13,17:00,0,34560
4,13,18:00,7,34560
4,13,19:00,5,34560
4,13,20:00,7,34560
4,13,21:00,5,34560
4,13,22:00,1,34560
4,13,23:00,8,34560
4,14,0:00,8,34233
4,14,1:00,7,34233
4,14,2:00,7,34233
4,14,3:00,7,34233
4,14,4:00,7,34233
4,14,5:00,7,34233
4,14,6:00,7,34233
4,14,7:00,7,34233
4,14,8:00,7,34233
